,IDR1,IDR2,E_value
685305,Q9C658_IDP_8_561_611,HopN1a_N-terminal_1_1_40,-1.6176438501553383
681165,Q9C658_IDP_3_161_240,HopN1a_N-terminal_1_1_40,-1.4415188336004263
685526,Q9C658_IDP_8_561_611,HopN1b_N-terminal_1_1_31,-0.4324089684112158
683649,Q9C658_IDP_6_401_480,HopN1a_N-terminal_1_1_40,-0.40989915489117124
684477,Q9C658_IDP_7_481_560,HopN1a_N-terminal_1_1_40,0.2580339246054617
680337,Q9C658_IDP_2_81_160,HopN1a_N-terminal_1_1_40,1.1322711530062683
679509,Q9C658_IDP_1_1_80,HopN1a_N-terminal_1_1_40,1.2604230280762145
681386,Q9C658_IDP_3_161_240,HopN1b_N-terminal_1_1_31,1.8394344838077776
683870,Q9C658_IDP_6_401_480,HopN1b_N-terminal_1_1_31,1.9107982883274008
681993,Q9C658_IDP_4_241_320,HopN1a_N-terminal_1_1_40,2.916647590305395
