,IDR1,IDR2,E_value
671440,Q8GYN5_IDP_2_81_160,HopAS1f_C-terminal_1_341_377,-4.234025602714652
670128,Q8GYN5_IDP_1_1_80,HopBL1b_Middle_1_412_491,-3.862691925162583
670158,Q8GYN5_IDP_1_1_80,AvrB2g_N-terminal_2_81_111,-2.8629246496478444
671262,Q8GYN5_IDP_2_81_160,HopM1s_C-terminal_1_801_836,-2.8537717798616136
670127,Q8GYN5_IDP_1_1_80,HopBL1b_N-terminal_1_1_57,-2.7755832511497758
671528,Q8GYN5_IDP_2_81_160,HopM1l_C-terminal_1_264_294,-2.555822811216238
670623,Q8GYN5_IDP_1_1_80,HopAT1d_C-terminal_1_717_763,-2.4839103807172798
671768,Q8GYN5_IDP_3_161_211,HopBL1b_Middle_1_412_491,-2.4411877520348026
670608,Q8GYN5_IDP_1_1_80,HopAG1n_IDP_2_81_111,-2.4142413313677586
670147,Q8GYN5_IDP_1_1_80,HopAH1q_C-terminal_1_353_421,-2.356628978744272
