,IDR1,IDR2,E_value
673408,Q5S2C4_C-terminal_2_1368_1425,HopBL1b_Middle_1_412_491,-4.217341290778465
673226,Q5S2C4_C-terminal_2_1368_1425,HopX1b_Middle_1_205_249,-3.7469504401538742
673438,Q5S2C4_C-terminal_2_1368_1425,AvrB2g_N-terminal_2_81_111,-3.6536996508103474
673079,Q5S2C4_C-terminal_1_1288_1367,HopAS1f_C-terminal_1_341_377,-3.601567132058559
673406,Q5S2C4_C-terminal_2_1368_1425,HopBL1a_Middle_2_482_553,-3.5912848125293646
671437,Q5S2C4_N-terminal_1_1_60,HopAS1f_C-terminal_1_341_377,-3.575167036053763
673872,Q5S2C4_C-terminal_2_1368_1425,HopAB1q_Middle_1_465_518,-3.048728947970666
673383,Q5S2C4_C-terminal_2_1368_1425,HopAR1b_N-terminal_2_81_160,-2.8406376375082854
673368,Q5S2C4_C-terminal_2_1368_1425,HopAB1n_Middle_1_427_466,-2.8371703878171806
673224,Q5S2C4_C-terminal_2_1368_1425,HopX1c_Middle_1_212_267,-2.7380475992512494
